lat,lon,00:00Z 2025-03-05,00:00Z 2025-03-06,00:00Z 2025-03-07,00:00Z 2025-03-08,00:00Z 2025-03-09,00:00Z 2025-03-10,00:00Z 2025-03-11,00:00Z 2025-03-12,00:00Z 2025-03-13
4.007606,96.03485,0.0,0.0,0.0,15.75,3.5199999809265137,0.0,0.0,0.0,0.0
4.007606,96.11799,0.0,0.009999999776482582,0.0,19.270000457763672,2.2899999618530273,0.0,0.0,0.0,0.0
4.007606,96.201126,0.0,0.019999999552965164,0.0,20.18000030517578,1.590000033378601,0.0,0.0,0.0,0.0
4.007606,96.28426,0.0,0.0,0.0,17.799999237060547,0.7200000286102295,0.0,0.0,0.0,0.0
4.007606,96.36739,0.0,0.0,0.009999999776482582,15.479999542236328,0.05999999865889549,0.0,0.0,0.0,0.0
4.007606,96.45053,0.0,0.05000000074505806,0.009999999776482582,14.010000228881836,0.0,0.0,0.0,0.0,0.009999999776482582
4.007606,96.53367,0.0,0.20000000298023224,0.019999999552965164,10.010000228881836,0.009999999776482582,0.0,0.0,0.029999999329447746,0.05000000074505806
4.007606,96.616806,0.0,0.25999999046325684,0.03999999910593033,6.309999942779541,0.05999999865889549,0.0,0.0,0.07000000029802322,0.5099999904632568
4.007606,96.69994,0.029999999329447746,0.36000001430511475,0.009999999776482582,8.350000381469727,0.1599999964237213,0.0,0.0,0.20000000298023224,0.8799999952316284
4.007606,96.78308,0.550000011920929,0.1899999976158142,0.05000000074505806,11.90999984741211,0.14000000059604645,0.0,0.0,0.07000000029802322,0.17000000178813934
4.007606,96.86621,2.380000114440918,0.4300000071525574,0.009999999776482582,8.260000228881836,0.009999999776482582,0.0,0.0,0.029999999329447746,0.0
4.007606,96.94935,2.569999933242798,0.36000001430511475,0.0,3.640000104904175,0.019999999552965164,0.05999999865889549,0.0,0.0,0.07999999821186066
4.007606,97.032486,0.6800000071525574,0.10999999940395355,0.0,1.7000000476837158,0.019999999552965164,0.15000000596046448,0.0,0.0,0.1599999964237213
4.007606,97.11562,1.9199999570846558,0.5400000214576721,0.0,0.6600000262260437,0.019999999552965164,0.5199999809265137,0.0,0.3400000035762787,0.0
4.007606,97.19876,1.0700000524520874,0.7699999809265137,0.009999999776482582,0.2800000011920929,0.019999999552965164,0.7400000095367432,0.0,0.05000000074505806,0.0
4.007606,97.28189,0.23000000417232513,0.27000001072883606,0.019999999552965164,0.019999999552965164,0.03999999910593033,0.6600000262260437,0.0,0.0,0.009999999776482582
4.007606,97.36503,0.25999999046325684,0.03999999910593033,0.07999999821186066,0.1599999964237213,0.07999999821186066,0.7400000095367432,0.0,0.0,0.14000000059604645
4.007606,97.448166,0.3700000047683716,0.1899999976158142,0.12999999523162842,0.44999998807907104,0.15000000596046448,0.36000001430511475,0.0,0.0,0.0
4.007606,97.5313,0.2199999988079071,0.20000000298023224,0.03999999910593033,1.6799999475479126,0.9700000286102295,2.109999895095825,0.14000000059604645,0.15000000596046448,0.0
