DateTime,Sink-1,SB-14,SB-15
15/09/2024 00:00,233.9,3.52952797904,28.9303848748
15/09/2024 01:00,212.3,3.49302834195,29.3965849391
15/09/2024 02:00,212.3,3.37419834,29.6618695164
15/09/2024 03:00,212.3,3.11908580476,29.6835857429
15/09/2024 04:00,212.3,2.72088577153,29.3974507481
15/09/2024 05:00,212.3,2.46103050893,28.7134218418
15/09/2024 06:00,212.3,2.23588947157,27.547258475
15/09/2024 07:00,212.3,2.03134488214,25.9411574758
15/09/2024 08:00,212.3,1.84551252763,24.0087507778
15/09/2024 09:00,212.3,1.67668056744,21.8636226753
15/09/2024 10:00,212.3,1.52329376427,19.6323318438
15/09/2024 11:00,212.3,1.38393915772,17.3738023092
15/09/2024 12:00,212.3,1.25733304842,15.1844145754
15/09/2024 13:00,212.3,1.14230917294,13.1357101783
15/09/2024 14:00,212.3,1.03780796045,11.2396334199
15/09/2024 15:00,212.3,0.942866772216,9.53418189926
15/09/2024 16:00,212.3,0.856611034056,8.07829673655
15/09/2024 17:00,212.3,0.778246179937,6.88533664102
15/09/2024 18:00,212.3,0.707050332657,5.88854782675
15/09/2024 19:00,212.3,0.642367654089,5.03613866379
15/09/2024 20:00,212.3,0.58360230377,4.56472127007
15/09/2024 21:00,212.3,0.530212950166,4.14712950181
15/09/2024 22:00,212.3,0.481707784064,3.7677400409
15/09/2024 23:00,212.3,0.43763998815,3.42305804764
16/09/2024 00:00,212.3,0.397603621042,3.10990839876
16/09/2024 01:00,372.5,0.424374467324,2.82661567924
16/09/2024 02:00,372.5,0.590505730859,2.88987173919
16/09/2024 03:00,372.5,0.98465461108,3.37891285618
16/09/2024 04:00,372.5,1.61802511631,4.41068804848
16/09/2024 05:00,372.5,2.36906646665,6.1496993092
16/09/2024 06:00,372.5,3.12975557548,8.74992831835
16/09/2024 07:00,372.5,3.81217642314,12.1422202649
16/09/2024 08:00,372.5,4.38596461347,16.1302620815
16/09/2024 09:00,372.5,4.80343260313,20.516306737
16/09/2024 10:00,372.5,5.10767155743,25.0780787832
16/09/2024 11:00,372.5,5.33516323388,29.7117138839
16/09/2024 12:00,372.5,5.51042626443,34.2463676165
16/09/2024 13:00,372.5,5.6429608277,38.5541217658
16/09/2024 14:00,372.5,5.74364247183,42.6118252875
16/09/2024 15:00,372.5,5.82206571516,46.350089258
16/09/2024 16:00,372.5,5.88279131222,49.6621282631
16/09/2024 17:00,372.5,5.93078759861,52.5213344227
16/09/2024 18:00,372.5,5.9698559428,55.0428976271
16/09/2024 19:00,372.5,6.00219004083,57.3162265372
16/09/2024 20:00,372.5,6.02957592847,59.3679986635
16/09/2024 21:00,372.5,6.05318758573,61.2392381886
16/09/2024 22:00,372.5,6.07425462305,62.966603574
16/09/2024 23:00,372.5,6.09360786208,64.5666295933
17/09/2024 00:00,372.5,6.11168297362,66.0438915403
17/09/2024 01:00,344.0,6.43489265558,67.3739177695
17/09/2024 02:00,344.0,7.39711630019,68.5265766489
17/09/2024 03:00,344.0,9.4252227043,69.4887011845
17/09/2024 04:00,344.0,12.5882400345,70.2278397069
17/09/2024 05:00,344.0,16.3349749825,70.6949731993
17/09/2024 06:00,344.0,20.1652770546,70.8469097357
17/09/2024 07:00,344.0,23.6664329474,70.7111261892
17/09/2024 08:00,344.0,26.6906492467,70.3550033114
17/09/2024 09:00,344.0,29.0067399916,69.8451967885
17/09/2024 10:00,344.0,30.8073934208,69.2548271939
17/09/2024 11:00,344.0,32.2570841734,68.619190336
17/09/2024 12:00,344.0,33.4664355448,67.9948970314
17/09/2024 13:00,344.0,34.4770524644,67.4246279353
17/09/2024 14:00,344.0,35.3376286772,66.9173128938
17/09/2024 15:00,344.0,36.0915374298,66.4965360941
17/09/2024 16:00,344.0,36.7590946344,66.1980830796
17/09/2024 17:00,344.0,37.3628170215,66.0322146928
17/09/2024 18:00,344.0,37.9200422011,65.9637257106
17/09/2024 19:00,344.0,38.4407789247,65.9651881797
17/09/2024 20:00,344.0,38.9332454124,66.0288516062
17/09/2024 21:00,344.0,39.402881895,66.1422302747
17/09/2024 22:00,344.0,39.8554511969,66.2940293895
17/09/2024 23:00,344.0,40.2949059476,66.479147422
18/09/2024 00:00,344.0,40.7233804278,66.6961638216
