station_code,station_name,dt_begin,dt_end,hour,gate_open,gate1_ht,gate2_ht,gate3_ht,gate4_ht,gate5_ht,gate6_ht
WY.02,ปตร.วังยาง,2025-07-29 00:00,2025-07-30 00:00,24.0,6,0.6,0.6,0.6,0.6,0.6,0.6
WY.02,ปตร.วังยาง,2025-07-30 01:00,2025-07-31 01:00,24.0,6,0.8,0.8,0.8,0.8,0.8,0.8
WY.02,ปตร.วังยาง,2025-07-31 02:00,2025-08-01 02:00,24.0,6,0.9,0.9,0.9,0.9,0.9,0.9
WY.02,ปตร.วังยาง,2025-08-01 03:00,2025-08-02 03:00,24.0,6,0.9,0.9,0.9,0.9,0.9,0.9
WY.02,ปตร.วังยาง,2025-08-02 04:00,2025-08-03 04:00,24.0,6,1.0,1.0,1.0,1.0,1.0,1.0
WY.02,ปตร.วังยาง,2025-08-03 05:00,2025-08-04 05:00,24.0,6,1.0,1.0,1.0,1.0,1.0,1.0
WY.02,ปตร.วังยาง,2025-08-04 06:00,2025-08-04 06:00,0.0,6,1.0,1.0,1.0,1.0,1.0,1.0
