NO,River,Cross Section,Profile,Water Surface Elevation,Flow,Velocities
2,2,184803  ,06/11/2010 08:00,140.7621307373047,9.39999771118164,0.09497562795877457
2,2,184715  ,06/11/2010 08:00,140.76182556152344,9.39999771118164,0.09499495476484299
2,2,184704  ,06/11/2010 08:00,140.76182556152344,9.39999771118164,3.4028234663852886e+38
2,2,184694  ,06/11/2010 08:00,140.75999450683594,9.39999771118164,0.09510993957519531
2,2,181383  ,06/11/2010 08:00,140.7484130859375,9.39999771118164,0.0927375927567482
2,2,176051  ,06/11/2010 08:00,140.51463317871094,9.39999771118164,0.37333953380584717
2,2,175106  ,06/11/2010 08:00,140.47164916992188,9.39999771118164,0.12515567243099213
2,2,175099  ,06/11/2010 08:00,140.47164916992188,9.39999771118164,3.4028234663852886e+38
2,2,175085  ,06/11/2010 08:00,140.46890258789062,9.39999771118164,0.12542705237865448
2,2,171039  ,06/11/2010 08:00,140.4372100830078,9.39999771118164,0.10128465294837952
2,2,165820  ,06/11/2010 08:00,139.73617553710938,9.39999771118164,0.47666141390800476
2,2,160658  ,06/11/2010 08:00,138.88243103027344,9.39999771118164,0.23001833260059357
2,2,155961  ,06/11/2010 08:00,137.98081970214844,9.39999771118164,0.4422522187232971
2,2,151870  ,06/11/2010 08:00,137.30630493164062,9.39999771118164,0.17546963691711426
2,2,151859  ,06/11/2010 08:00,137.30630493164062,9.39999771118164,3.4028234663852886e+38
2,2,151848  ,06/11/2010 08:00,137.30294799804688,9.39999771118164,0.17600397765636444
2,2,151179  ,06/11/2010 08:00,137.28009033203125,9.39999771118164,0.22220708429813385
2,2,145459  ,06/11/2010 08:00,136.47389221191406,9.39999771118164,0.4813673198223114
2,2,137065  ,06/11/2010 08:00,135.09710693359375,9.39999771118164,0.33655527234077454
2,2,132858  ,06/11/2010 08:00,134.8886260986328,9.39999771118164,0.11046246439218521
2,2,132847  ,06/11/2010 08:00,134.8886260986328,9.39999771118164,3.4028234663852886e+38
2,2,132837  ,06/11/2010 08:00,134.88710021972656,9.39999771118164,0.11056295782327652
2,2,132540  ,06/11/2010 08:00,134.87216186523438,9.39999771118164,0.36593759059906006
2,2,127518  ,06/11/2010 08:00,134.6514892578125,9.39999771118164,0.13971805572509766
2,2,123366  ,06/11/2010 08:00,134.62985229492188,9.39999771118164,0.10005341470241547
2,2,123349  ,06/11/2010 08:00,134.62985229492188,9.39999771118164,3.4028234663852886e+38
2,2,123334  ,06/11/2010 08:00,134.62832641601562,9.39999771118164,0.10012654215097427
2,2,122113  ,06/11/2010 08:00,134.62498474121094,9.39999771118164,0.09087803214788437
2,2,117580  ,06/11/2010 08:00,134.6085205078125,9.39999771118164,0.11941483616828918
2,2,112911  ,06/11/2010 08:00,134.58688354492188,9.39999771118164,0.09697292745113373
2,2,112889  ,06/11/2010 08:00,134.58688354492188,9.39999771118164,3.4028234663852886e+38
2,2,112860  ,06/11/2010 08:00,134.58535766601562,9.39999771118164,0.09708470106124878
2,2,112127  ,06/11/2010 08:00,134.5786590576172,9.39999771118164,0.15150798857212067
2,2,110572  ,06/11/2010 08:00,134.5493927001953,9.39999771118164,0.22372695803642273
2,2,110116  ,06/11/2010 08:00,134.53933715820312,9.39999771118164,0.22742228209972382
2,2,105572  ,06/11/2010 08:00,134.48477172851562,9.39999771118164,0.10711747407913208
2,2,100593  ,06/11/2010 08:00,134.46495056152344,9.39999771118164,0.0808582752943039
2,2,97325   ,06/11/2010 08:00,133.28355407714844,9.39999771118164,0.6657943725585938
2,2,97299   ,06/11/2010 08:00,133.26739501953125,9.39999771118164,0.6050843596458435
2,2,97283   ,06/11/2010 08:00,133.26739501953125,9.39999771118164,3.4028234663852886e+38
2,2,97267   ,06/11/2010 08:00,133.215576171875,9.39999771118164,0.6635655164718628
2,2,95430   ,06/11/2010 08:00,132.3664093017578,9.39999771118164,0.43141186237335205
2,2,90014   ,06/11/2010 08:00,131.81442260742188,9.39999771118164,0.14667411148548126
2,2,84739   ,06/11/2010 08:00,131.7001190185547,9.39999771118164,0.21368016302585602
2,2,80495   ,06/11/2010 08:00,131.5285186767578,9.39999771118164,0.2552868127822876
2,2,79205   ,06/11/2010 08:00,131.489501953125,9.39999771118164,0.13208548724651337
2,2,79196   ,06/11/2010 08:00,131.489501953125,9.39999771118164,3.4028234663852886e+38
2,2,79187   ,06/11/2010 08:00,131.48736572265625,9.39999771118164,0.13228987157344818
2,2,74954   ,06/11/2010 08:00,131.4404296875,9.39999771118164,0.16054058074951172
2,2,69911   ,06/11/2010 08:00,131.39410400390625,9.39999771118164,0.11460130661725998
2,2,67847   ,06/11/2010 08:00,131.38648986816406,9.39999771118164,0.09871983528137207
2,2,65577   ,06/11/2010 08:00,131.38221740722656,9.39999771118164,0.06690733879804611
2,2,65568   ,06/11/2010 08:00,131.38221740722656,9.39999771118164,3.4028234663852886e+38
2,2,65558   ,06/11/2010 08:00,131.3806915283203,9.39999771118164,0.06694042682647705
2,2,65336   ,06/11/2010 08:00,131.38038635253906,9.39999771118164,0.06764378398656845
2,2,62093   ,06/11/2010 08:00,131.37855529785156,9.39999771118164,0.025663090869784355
2,2,62029   ,06/11/2010 08:00,131.37855529785156,9.39999771118164,3.4028234663852886e+38
2,2,61985   ,06/11/2010 08:00,130.7604217529297,9.39999771118164,0.029960844665765762
2,2,60930   ,06/11/2010 08:00,130.75889587402344,9.39999771118164,0.08336585760116577
2,2,54318   ,06/11/2010 08:00,130.75006103515625,9.39999771118164,0.04440617933869362
2,2,51452   ,06/11/2010 08:00,130.74853515625,9.39999771118164,0.04727659747004509
2,2,51442   ,06/11/2010 08:00,130.74853515625,9.39999771118164,3.4028234663852886e+38
2,2,51426   ,06/11/2010 08:00,130.74761962890625,9.39999771118164,0.04729494825005531
2,2,51251   ,06/11/2010 08:00,130.74761962890625,9.39999771118164,0.04729494825005531
2,2,45595   ,06/11/2010 08:00,130.7317657470703,9.39999771118164,0.13146933913230896
2,2,40582   ,06/11/2010 08:00,129.5784149169922,9.39999771118164,0.7130856513977051
2,2,38393   ,06/11/2010 08:00,128.86761474609375,9.39999771118164,0.41544267535209656
2,2,38383   ,06/11/2010 08:00,128.86761474609375,9.39999771118164,3.4028234663852886e+38
2,2,38373   ,06/11/2010 08:00,128.8542022705078,9.39999771118164,0.42338502407073975
2,2,32702   ,06/11/2010 08:00,128.2150421142578,9.39999771118164,0.18100088834762573
2,2,28219   ,06/11/2010 08:00,128.1574249267578,9.39999771118164,0.12140998989343643
2,2,26445   ,06/11/2010 08:00,128.0897674560547,9.39999771118164,0.2667863965034485
2,2,26423   ,06/11/2010 08:00,128.0897674560547,9.39999771118164,3.4028234663852886e+38
2,2,26402   ,06/11/2010 08:00,128.07818603515625,9.39999771118164,0.2705632448196411
2,2,23777   ,06/11/2010 08:00,127.85811614990234,9.39999771118164,0.3066152036190033
2,2,17958   ,06/11/2010 08:00,127.35245513916016,9.39999771118164,0.2568521201610565
2,2,12867   ,06/11/2010 08:00,127.1073989868164,9.39999771118164,0.19105783104896545
2,2,12617   ,06/11/2010 08:00,127.10282135009766,9.39999771118164,0.16741253435611725
2,2,12608   ,06/11/2010 08:00,127.10282135009766,9.39999771118164,3.4028234663852886e+38
2,2,12595   ,06/11/2010 08:00,127.10099029541016,9.39999771118164,0.16762861609458923
2,2,8214    ,06/11/2010 08:00,126.95438385009766,9.39999771118164,0.2961293160915375
2,2,3898    ,06/11/2010 08:00,126.76631927490234,9.39999771118164,0.2201465219259262
2,2,97      ,06/11/2010 08:00,126.686767578125,9.39999771118164,0.1497480720281601
2,1,14860   ,06/11/2010 08:00,126.64775085449219,42.04001235961914,0.9279029369354248
2,1,11781   ,06/11/2010 08:00,125.9427490234375,42.04001235961914,0.4411960542201996
2,1,10952   ,06/11/2010 08:00,125.88849639892578,42.04001235961914,0.39747464656829834
2,1,10932   ,06/11/2010 08:00,125.88849639892578,42.04001235961914,3.4028234663852886e+38
2,1,10921   ,06/11/2010 08:00,125.88209533691406,42.04001235961914,0.3990415632724762
2,1,6792    ,06/11/2010 08:00,125.7440185546875,42.04001235961914,0.1793024092912674
2,1,3636    ,06/11/2010 08:00,125.7281723022461,42.04001235961914,0.14455755054950714
2,1,3621    ,06/11/2010 08:00,125.7281723022461,42.04001235961914,3.4028234663852886e+38
2,1,3603    ,06/11/2010 08:00,125.72665405273438,42.04001235961914,0.14463309943675995
2,1,2048    ,06/11/2010 08:00,125.5772933959961,42.04001235961914,0.6251790523529053
2,1,1158    ,06/11/2010 08:00,125.4834213256836,42.04001235961914,0.3073492646217346
2,1,1107    ,06/11/2010 08:00,125.4834213256836,42.04001235961914,3.4028234663852886e+38
2,1,1061    ,06/11/2010 08:00,125.11796569824219,42.04001235961914,0.39765945076942444
2,1,527     ,06/11/2010 08:00,125.06828308105469,42.04001235961914,0.4100229740142822
3,2,184803  ,06/11/2010 09:00,140.76243591308594,9.508330345153809,0.09605063498020172
3,2,184715  ,06/11/2010 09:00,140.7621307373047,9.507800102233887,0.09606484323740005
3,2,184704  ,06/11/2010 09:00,140.7621307373047,9.507800102233887,3.4028234663852886e+38
3,2,184694  ,06/11/2010 09:00,140.7602996826172,9.507800102233887,0.09618112444877625
3,2,181383  ,06/11/2010 09:00,140.7484130859375,9.494893074035645,0.09367379546165466
3,2,176051  ,06/11/2010 09:00,140.51402282714844,9.500496864318848,0.37752747535705566
3,2,175106  ,06/11/2010 09:00,140.47164916992188,9.503504753112793,0.12653380632400513
3,2,175099  ,06/11/2010 09:00,140.47164916992188,9.503504753112793,3.4028234663852886e+38
3,2,175085  ,06/11/2010 09:00,140.46890258789062,9.503504753112793,0.12680818140506744
3,2,171039  ,06/11/2010 09:00,140.43690490722656,9.526220321655273,0.10267532616853714
3,2,165820  ,06/11/2010 09:00,139.73495483398438,9.570012092590332,0.4861055016517639
3,2,160658  ,06/11/2010 09:00,138.88121032714844,9.637659072875977,0.23627781867980957
3,2,155961  ,06/11/2010 09:00,137.982666015625,9.633988380432129,0.4517654478549957
3,2,151870  ,06/11/2010 09:00,137.30752563476562,9.564425468444824,0.17834244668483734
3,2,151859  ,06/11/2010 09:00,137.30752563476562,9.564425468444824,3.4028234663852886e+38
3,2,151848  ,06/11/2010 09:00,137.30386352539062,9.564425468444824,0.17893479764461517
3,2,151179  ,06/11/2010 09:00,137.281005859375,9.554924964904785,0.22561588883399963
3,2,145459  ,06/11/2010 09:00,136.4741973876953,9.503175735473633,0.4864615797996521
3,2,137065  ,06/11/2010 09:00,135.09742736816406,9.486420631408691,0.339534193277359
3,2,132858  ,06/11/2010 09:00,134.89015197753906,9.438984870910645,0.11081986129283905
3,2,132847  ,06/11/2010 09:00,134.89015197753906,9.438984870910645,3.4028234663852886e+38
3,2,132837  ,06/11/2010 09:00,134.8886260986328,9.438984870910645,0.11092060804367065
3,2,132540  ,06/11/2010 09:00,134.87461853027344,9.433552742004395,0.3664724826812744
3,2,127518  ,06/11/2010 09:00,134.6524200439453,9.367744445800781,0.13915972411632538
3,2,123366  ,06/11/2010 09:00,134.63137817382812,9.304105758666992,0.09896045923233032
3,2,123349  ,06/11/2010 09:00,134.63137817382812,9.304105758666992,3.4028234663852886e+38
3,2,123334  ,06/11/2010 09:00,134.62954711914062,9.304105758666992,0.09904729574918747
3,2,122113  ,06/11/2010 09:00,134.62649536132812,9.278382301330566,0.08962777256965637
3,2,117580  ,06/11/2010 09:00,134.61065673828125,9.162555694580078,0.11626921594142914
3,2,112911  ,06/11/2010 09:00,134.5911407470703,8.887998580932617,0.09139703214168549
3,2,112889  ,06/11/2010 09:00,134.5911407470703,8.887998580932617,3.4028234663852886e+38
3,2,112860  ,06/11/2010 09:00,134.58932495117188,8.887998580932617,0.09152261167764664
3,2,112127  ,06/11/2010 09:00,134.58383178710938,8.832844734191895,0.14176349341869354
3,2,110572  ,06/11/2010 09:00,134.55914306640625,8.710780143737793,0.20586171746253967
