DateTime,E.91,E.1,E.8A,E.66A,E.87
06/11/2010 07:00,9.39999866486,9.39999866486,9.39999866486,9.39999866486,32.6400032043
06/11/2010 08:00,9.50780105591,9.56442642212,8.88799953461,9.42955112457,32.7266654968
06/11/2010 09:00,9.61489772797,9.59336185455,8.82672309875,9.44208717346,32.8133354187
06/11/2010 10:00,9.72207736969,9.60163974762,6.99247932434,9.45872688293,32.9000015259
06/11/2010 11:00,9.82942390442,9.60192203522,6.01201725006,9.45632553101,32.9866638184
06/11/2010 12:00,9.93685722351,9.59864425659,5.38652706146,9.4109582901,33.0733299255
06/11/2010 13:00,10.0436410904,9.5911693573,4.72376823425,9.33103466034,33.1599998474
06/11/2010 14:00,10.1529073715,9.59295082092,5.31174945831,9.14689731598,33.2466621399
06/11/2010 15:00,10.2588148117,9.58682155609,5.03716564178,9.02766609192,33.3333282471
06/11/2010 16:00,10.368596077,9.58905982971,5.24325656891,8.72420883179,33.4199981689
06/11/2010 17:00,10.4754161835,9.58815574646,5.12235355377,8.52655220032,33.5066604614
06/11/2010 18:00,10.5821466446,9.58736228943,4.86834192276,8.38973903656,33.5933265686
06/11/2010 19:00,10.6924448013,9.594373703,5.2654209137,7.94968509674,33.6799926758
06/11/2010 20:00,10.7992353439,9.60006713867,4.85776948929,7.77903556824,33.766658783
06/11/2010 21:00,10.9058208466,9.60490894318,4.20955085754,7.74305009842,33.8533248901
06/11/2010 22:00,11.0151147842,9.61734104156,4.14671516418,7.4388256073,33.9399909973
06/11/2010 23:00,11.1231832504,9.63338088989,4.17686319351,7.21927785873,34.0266609192
07/11/2010 00:00,11.2312774658,9.65308570862,4.19176721573,7.02705335617,34.1133232117
07/11/2010 01:00,11.339343071,9.67577648163,4.2005906105,6.85574436188,34.1999893188
07/11/2010 02:00,11.4474534988,9.7021150589,4.19528675079,6.67552900314,34.2866592407
07/11/2010 03:00,11.5556268692,9.73212337494,4.18585252762,6.51145505905,34.3733215332
07/11/2010 04:00,11.6637496948,9.76535224915,4.16231966019,6.33483839035,34.4599876404
07/11/2010 05:00,11.7719392776,9.80227470398,4.1396317482,6.16221094131,34.5466537476
07/11/2010 06:00,11.8801088333,9.84212493896,4.12776088715,5.98458003998,34.6333198547
07/11/2010 07:00,11.9883012772,9.88537883759,4.11975431442,5.81938362122,34.7199859619
07/11/2010 08:00,12.022851944,9.93227005005,4.1116938591,5.65908193588,34.6874885559
07/11/2010 09:00,12.0568332672,9.97950839996,4.11845779419,5.50489377975,34.6549873352
07/11/2010 10:00,12.0907154083,10.0303754807,4.13666391373,5.35760688782,34.6224861145
07/11/2010 11:00,12.1245384216,10.0856580734,4.14283275604,5.21571874619,34.5899887085
07/11/2010 12:00,12.1583061218,10.1438016891,4.14393091202,5.07964801788,34.5574874878
07/11/2010 13:00,12.1919956207,10.2051792145,4.14277791977,4.94848394394,34.5249900818
07/11/2010 14:00,12.2257070541,10.2681360245,4.14223051071,4.82154655457,34.4924888611
07/11/2010 15:00,12.2594127655,10.3330392838,4.14201021194,4.69969177246,34.4599914551
07/11/2010 16:00,12.2931156158,10.3990049362,4.16912460327,4.57023239136,34.4274902344
07/11/2010 17:00,12.3267726898,10.4660997391,4.18286705017,4.4458861351,34.3949928284
07/11/2010 18:00,12.3603076935,10.5351715088,4.20574092865,4.33622837067,34.3624916077
07/11/2010 19:00,12.393860817,10.6052713394,4.22108745575,4.22948265076,34.3299942017
07/11/2010 20:00,12.4273710251,10.6823005676,4.23568964005,4.12421607971,34.2974891663
07/11/2010 21:00,12.4608659744,10.7612075806,4.23808813095,4.0374417305,34.2649917603
07/11/2010 22:00,12.4943504333,10.8387527466,4.24207019806,3.96291065216,34.2324905396
07/11/2010 23:00,12.5278406143,10.9156665802,4.25982809067,3.86551094055,34.1999931335
08/11/2010 00:00,12.5612850189,10.9921684265,4.28286027908,3.76165270805,34.1674919128
08/11/2010 01:00,12.5947704315,11.06828022,4.30722904205,3.67125916481,34.1349945068
08/11/2010 02:00,12.6283760071,11.1436300278,4.34786319733,3.60918092728,34.1024932861
08/11/2010 03:00,12.6617116928,11.2180728912,4.38836431503,3.55710911751,34.0699958801
08/11/2010 04:00,12.6951560974,11.2916946411,4.41342067719,3.50182151794,34.0374946594
08/11/2010 05:00,12.7285747528,11.3630723953,4.43687915802,3.44587898254,34.0049972534
08/11/2010 06:00,12.7619752884,11.4337015152,4.46412706375,3.39054727554,33.9724960327
08/11/2010 07:00,12.7953710556,11.4998893738,4.48625850677,3.33597397804,33.9399986267
08/11/2010 08:00,12.7304544449,11.5646371841,4.49208450317,3.2839179039,33.9183311462
08/11/2010 09:00,12.6648006439,11.6295013428,4.53586292267,3.2329928875,33.8966598511
08/11/2010 10:00,12.5990848541,11.6930150986,4.56070661545,3.18319582939,33.8749961853
08/11/2010 11:00,12.5331802368,11.7553606033,4.59440803528,3.13468885422,33.8533287048
08/11/2010 12:00,12.4671993256,11.8148145676,4.61861753464,3.08729982376,33.8316612244
08/11/2010 13:00,12.4011688232,11.8722257614,4.63914346695,3.02915763855,33.8099975586
08/11/2010 14:00,12.3350286484,11.9263525009,4.64389753342,2.96857261658,33.7883262634
08/11/2010 15:00,12.268828392,11.9777545929,4.64937257767,2.92343974113,33.766658783
08/11/2010 16:00,12.2025899887,12.0250387192,4.66741847992,2.88097786903,33.7449951172
08/11/2010 17:00,12.136297226,12.0688838959,4.68794155121,2.83751583099,33.723323822
08/11/2010 18:00,12.0699672699,12.1082935333,4.70674943924,2.79656243324,33.7016601562
