DateTime,E.91,E.8A,BTH,E.66A,E.87,WY,RE
18/07/2025 07:00,219.711013794,223.022796631,317.249664307,307.410247803,114.349967957,334.160217285,349.754516602
18/07/2025 08:00,219.705215454,225.436035156,276.685394287,307.114990234,115.177047729,307.953826904,349.774871826
18/07/2025 09:00,219.703781128,228.762802124,262.597839355,297.502716064,116.004127502,287.915649414,352.814697266
18/07/2025 10:00,219.701339722,229.655181885,255.026611328,290.452880859,116.831207275,281.105285645,354.800872803
18/07/2025 11:00,219.701187134,229.693618774,250.49055481,285.431091309,117.658309937,274.359985352,356.427368164
18/07/2025 12:00,219.700057983,229.370452881,247.655654907,280.82119751,118.485389709,270.014007568,357.973510742
18/07/2025 13:00,219.703887939,228.911102295,245.239318848,276.539367676,119.312469482,268.140533447,359.401397705
18/07/2025 14:00,219.701965332,228.413024902,243.06652832,272.362670898,120.139549255,264.56048584,360.626922607
18/07/2025 15:00,219.70173645,227.900588989,241.618118286,269.124084473,120.966629028,261.053863525,361.715789795
18/07/2025 16:00,219.699279785,227.396408081,239.75843811,266.017669678,121.793701172,259.531982422,362.669006348
18/07/2025 17:00,219.701095581,226.916427612,238.52532959,262.387817383,122.620811462,256.264434814,363.52243042
18/07/2025 18:00,219.700805664,226.445892334,236.901504517,260.415527344,123.447891235,255.017150879,364.256774902
18/07/2025 19:00,219.700775146,226.000167847,235.648239136,257.301818848,124.274963379,251.998474121,364.905395508
18/07/2025 20:00,219.701721191,225.580062866,234.41355896,255.697525024,125.102043152,251.020904541,365.491668701
18/07/2025 21:00,219.700469971,225.17956543,233.634033203,253.933456421,125.929122925,248.047088623,365.99597168
18/07/2025 22:00,219.701202393,224.806945801,232.217422485,251.701370239,126.756202698,247.382751465,366.462280273
18/07/2025 23:00,219.701416016,224.452316284,231.580001831,250.13142395,127.583305359,246.30696106,366.877593994
19/07/2025 00:00,219.701782227,224.114257812,230.893661499,247.096710205,128.410385132,243.58001709,367.230651855
19/07/2025 01:00,219.70072937,223.809112549,229.634613037,246.806594849,129.237472534,243.228027344,367.554290771
19/07/2025 02:00,219.702209473,223.518417358,229.174804688,245.604156494,130.064575195,242.378112793,367.852722168
19/07/2025 03:00,219.701202393,223.242538452,228.647476196,244.478225708,130.891647339,241.470306396,368.097351074
19/07/2025 04:00,219.702102661,222.989425659,227.603607178,242.425308228,131.718734741,239.215408325,368.335632324
19/07/2025 05:00,219.699935913,222.763839722,227.065139771,241.786270142,132.545806885,238.99446106,368.557342529
19/07/2025 06:00,219.699905396,222.538955688,226.776611328,240.937591553,133.372879028,238.333892822,368.745635986
19/07/2025 07:00,219.711425781,223.050186157,323.661132812,312.311645508,134.199966431,339.005432129,369.45513916
19/07/2025 08:00,219.706542969,226.088745117,279.413085938,311.366088867,134.472061157,312.132507324,369.466003418
19/07/2025 09:00,219.702728271,229.761489868,264.824707031,299.960021973,134.744125366,291.353668213,372.947357178
19/07/2025 10:00,219.704650879,230.649139404,256.693145752,294.12411499,135.016235352,282.875488281,375.062774658
19/07/2025 11:00,219.70161438,230.626434326,252.688949585,287.069061279,135.288299561,277.767578125,376.668334961
19/07/2025 12:00,219.703674316,230.218505859,249.685119629,282.376098633,135.560394287,273.286437988,378.158325195
19/07/2025 13:00,219.700698853,229.70111084,247.148223877,277.471923828,135.832458496,269.291748047,379.490936279
19/07/2025 14:00,219.702102661,229.146942139,244.855422974,274.619873047,136.104553223,265.589385986,380.626037598
19/07/2025 15:00,219.698974609,228.586914062,242.765029907,270.836242676,136.37663269,263.696105957,381.625976562
